product_id,variation_id,name,url,weight,depth,width,height,meta_title,meta_description,meta_keywords,tags,description,short_description,ncm,images,price,price_compare,model,gender,age_group,warranty,active,brand,category_1,category_2,category_3,reference,gtin,mpn,stock,color,variation,variation_price,sku
,,Caneta 10 Cores Hello Kitty.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,12,,,,
,,Borracha Hello.,,,,,,,,,,,,,,14.00,,,,,,,,,,,,,,6,,,,
,,Borracha Boneca.,,,,,,,,,,,,,,14.00,,,,,,,,,,,,,,4,,,,
,,Estojo Silicone Sanrio.,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,4,,,,
,,Tesoura cor Pastel.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,9,,,,
,,Tesoura Grande.,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,2,,,,
,,Tesoura Hello Kitty.,,,,,,,,,,,,,,21.00,,,,,,,,,,,,,,4,,,,
,,Caneta Apagavel Colorida Azul,,,,,,,,,,,,,,12.00,,,,,,,,,,,,,,11,,,,
,,Agenda Hello Kitty.,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,3,,,,
,,Borracha Lotso.,,,,,,,,,,,,,,17.00,,,,,,,,,,,,,,6,,,,
,,kit Borracha Quadrada Donuts,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,3,,,,
,,Kit Borracha Quadrada Princesa,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,3,,,,
,,Kit Borracha Cabeça Lotso.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,10,,,,
,,kit Borracha Cabeça Stitch.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,4,,,,
,,Kit Borracha Cabeça Sanrio.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,3,,,,
,,Estilete Pata.,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,5,,,,
,,Agenda Unic. 2025.,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,1,,,,
,,Agenda Cute Cat.,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,1,,,,
,,Agenda Pata de Gato.,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,1,,,,
